id,salary_in_usd
0,86155.07590348416
1,113432.40382825531
2,105337.39570754662
3,77751.51978299252
4,45441.123191265535
5,65383.83018377445
6,49395.81567615372
7,25470.398324229944
8,51517.281838974726
9,162737.19047895644
10,11416.362119004232
11,173346.10128857248
12,70231.61443855823
13,7702.6989801935415
14,76097.89195531138
15,42276.003314960864
16,79836.85331519991
17,138101.09932919993
18,17004.837677135874
19,38823.596997033135
20,74050.42744225677
21,48142.711156260324
22,73323.66563055007
23,175169.0138200559
24,14178.098751579833
25,18436.362913331424
26,90257.03187251341
27,246262.83428445246
28,96724.63640143162
29,163084.8817309029
30,182739.603039387
31,116176.4272093638
32,145540.65108373086
33,37932.29899890379
34,48634.43081324593
35,58366.412475924895
36,162887.6835953165
37,45096.28847021192
38,60091.832723328174
39,206212.70159213018
40,21850.98503409956
41,15635.533238354139
42,105337.39570754662
43,173346.10128857248
44,90257.03187251341
45,255732.30810350797
46,128803.7007736011
47,26192.11682149404
48,116176.4272093638
49,23468.210542077213
50,127565.99542866218
51,25551.383419844147
52,140436.45569444817
53,128803.7007736011
54,107677.27211881873
55,76265.35508732568
56,157612.9262202597
57,184922.86498985707
58,109031.43158150332
59,144930.99293909216
60,109031.43158150332
61,257685.05696053302
62,144930.99293909216
63,144930.99293909216
64,165356.02384184155
65,220323.34450735874
66,220323.34450735874
67,144930.99293909216
68,109031.43158150332
69,77305.70904935861
70,132520.94609340662
71,162737.19047895644
72,82194.64787834554
73,72650.96594970205
74,95515.17731612403
75,128803.7007736011
76,70231.61443855823
77,76265.35508732568
78,95171.8660174095
79,166591.04681439503
80,63197.145671702056
81,42347.314206900934
82,286336.6705312877
83,315498.67161134654
84,107677.27211881873
85,68303.24371326165
86,68303.24371326165
87,157612.9262202597
88,144930.99293909216
89,256187.5119851834
90,87995.59166308319
91,56267.426511316655
92,81374.84448616969
93,58745.94595381571
94,144930.99293909216
95,292539.01501624007
96,37089.31381900067
97,68604.39209895965
98,57344.36274455342
99,156694.709932378
100,144930.99293909216
101,109031.43158150332
102,109031.43158150332
103,220323.34450735874
104,157612.9262202597
105,46144.56432687142
106,109031.43158150332
